region_name,tech_id,tech_name,unit_size_mw,xcoord,ycoord,index,buffer_in_km,sited_year,retirement_year,lmp_zone,locational_marginal_price_usd_per_mwh,generation_mwh_per_year,operating_cost_usd_per_year,net_operational_value_usd_per_year,interconnection_cost_usd_per_year,net_locational_cost_usd_per_year,capacity_factor_fraction,carbon_capture_rate_fraction,fuel_co2_content_tons_per_btu,fuel_price_usd_per_mmbtu,fuel_price_esc_rate_fraction,heat_rate_btu_per_kWh,lifetime_yrs,variable_om_usd_per_mwh,variable_om_esc_rate_fraction,carbon_tax_usd_per_ton,carbon_tax_esc_rate_fraction
alabama,4,coal_conv_pul_wo_ccs,600,744947.1645,-364565.2005,9267132,5,2010,2070,36,157.445737,3852648,1733.96022,6680338373,0,-6680338373,0.733,0,0.36036,2.39413,0.09122,8594.5,60,4.002582311,-0.003989934,0,0
alabama,4,coal_conv_pul_wo_ccs,600,790947.1645,-386565.2005,9370424,5,2010,2070,36,157.445737,3852648,1733.96022,6680338373,0,-6680338373,0.733,0,0.36036,2.39413,0.09122,8594.5,60,4.002582311,-0.003989934,0,0
alabama,4,coal_conv_pul_wo_ccs,600,854947.1645,-470565.2005,9764700,5,2010,2070,36,157.445737,3852648,1733.96022,6680338373,0,-6680338373,0.733,0,0.36036,2.39413,0.09122,8594.5,60,4.002582311,-0.003989934,0,0
alabama,4,coal_conv_pul_wo_ccs,600,957947.1645,-376565.2005,9323661,5,2010,2070,36,157.445737,3852648,1733.96022,6680338373,0,-6680338373,0.733,0,0.36036,2.39413,0.09122,8594.5,60,4.002582311,-0.003989934,0,0
alabama,4,coal_conv_pul_wo_ccs,600,774947.1645,-473565.2005,9778699,5,2010,2070,36,157.445737,3852648,1733.96022,6680338373,0,-6680338373,0.733,0,0.36036,2.39413,0.09122,8594.5,60,4.002582311,-0.003989934,0,0
alabama,4,coal_conv_pul_wo_ccs,600,777947.1645,-432565.2005,9586289,5,2010,2070,36,157.445737,3852648,1733.96022,6680338373,0,-6680338373,0.733,0,0.36036,2.39413,0.09122,8594.5,60,4.002582311,-0.003989934,0,0
alabama,4,coal_conv_pul_wo_ccs,600,754947.1645,-669565.2005,10698507,5,2010,2070,36,157.445737,3852648,1733.96022,6680338373,0,-6680338373,0.733,0,0.36036,2.39413,0.09122,8594.5,60,4.002582311,-0.003989934,0,0
alabama,4,coal_conv_pul_wo_ccs,600,1021947.165,-589565.2005,10323334,5,2010,2070,36,157.445737,3852648,1733.96022,6680338373,0,-6680338373,0.733,0,0.36036,2.39413,0.09122,8594.5,60,4.002582311,-0.003989934,0,0
alabama,4,coal_conv_pul_wo_ccs,600,811947.1645,-652565.2005,10618783,5,2010,2070,36,157.445737,3852648,1733.96022,6680338373,0,-6680338373,0.733,0,0.36036,2.39413,0.09122,8594.5,60,4.002582311,-0.003989934,0,0
alabama,4,coal_conv_pul_wo_ccs,600,788947.1645,-512565.2005,9961740,5,2010,2070,36,157.445737,3852648,1733.96022,6680338373,0,-6680338373,0.733,0,0.36036,2.39413,0.09122,8594.5,60,4.002582311,-0.003989934,0,0
